弗朗西斯·福特·科波拉,马里奥·普佐 / 弗朗西斯·福特·科波拉,阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔 / 安迪·加西亚 / 埃里·瓦拉赫 / 乔·曼特纳 / 乔治·汉密尔顿 / 布里吉特·芳达 / 索菲亚·科波拉 / 雷夫·瓦朗 / 弗兰克·德安布罗西奥 / 敦尔·当纳利 / 理查德·布赖特 / 赫尔穆特·贝格 / 唐·诺韦洛,"['剧情', '犯罪']", 美国, 英语 / 意大利语 / 德语 / 拉丁语,1990-12-25(美国),170分钟,8.9,256481,"['黑帮', '教父', '经典', '美国', '犯罪', '剧情', '人生', '电影']"
理查德·柯蒂斯,理查德·柯蒂斯,多姆纳尔·格里森 / 瑞秋·麦克亚当斯 / 比尔·奈伊 / 莉迪亚·威尔逊 / 琳赛·邓肯 / 理查德·科德里 / 约书亚·麦圭尔 / 汤姆·霍兰德 / 玛格特·罗比 / 维尔·梅里克 / 凡妮莎·柯比 / 汤姆·休斯 / 哈利·海顿-佩顿 / 米切尔·马伦 / 丽莎·艾科恩 / 珍妮·莱恩斯福德 / 菲利普-沃斯 / 凯瑟琳·斯戴曼 / 汤姆·斯托顿 / 安部春香 / 李·阿斯奎斯-柯 / 理查德·班克斯 / 保罗·布莱克维尔 / 贝恩·科拉科 / 格拉姆·柯里 / 罗薇娜·戴蒙德 / 约翰·达根 / 迪诺·法赞尼 / 内芙·加切夫 / 理查德·E·格兰特 / 理查德·格雷弗斯 / 李·尼古拉斯·哈里斯 / 理查德·赫德曼 / 李仙湖 / 马修·C·马蒂诺 / 马汀·麦格 / 艾莉克丝摩尔,"['喜剧', '爱情', '奇幻']", 英国, 英语,2013-09-04(英国),123分钟,8.7,409947,"['爱情', '温情', '英国', '人生', '英国电影', '喜剧', '科幻', '亲情']"
宫崎骏,宫崎骏,岛本须美 / 松田洋治 / 榊原良子 / 辻村真人 / 京田尚子 / 纳谷悟朗 / 永井一郎 / 宫内幸平 / 八奈见乘儿 / 矢田稔 / 富永美伊奈 / 家弓家正 / 吉田理保子 / 菅谷政子 / 坂本千夏 / 鳕子 / 麦人 / 大塚芳忠,"['动画', '奇幻', '冒险']", 日本, 日语,1992-05(中国大陆),117分钟,8.9,287487,"['宫崎骏', '动画', '日本', '风之谷', '日本动画', '宮崎駿', '动漫', '吉卜力']"
阿方索·卡隆,史蒂夫·克洛夫斯 / J·K·罗琳,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 加里·奥德曼 / 朱丽·沃特斯 / 邦妮·怀特 / 大卫·休里斯 / 迈克尔·刚本 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 艾玛·汤普森 / 朱莉·克里斯蒂 / 蒂莫西·斯波,"['奇幻', '冒险']", 英国 / 美国, 英语,2004-09-10(中国大陆),141 分钟,8.7,423423,"['哈利波特', '魔幻', 'HarryPotter', '英国', '奇幻', '美国', '成长', '经典']"
延尚昊,延尚昊,孔侑 / 郑有美 / 马东锡 / 金秀安 / 金义城 / 崔宇植 / 安昭熙 / 崔奎华 / 郑锡勇 / 艺秀晶 / 朴明申 / 张赫镇 / 禹都临 / 沈恩京,"['动作', '惊悚', '灾难']", 韩国, 韩语,2016-05-13(戛纳电影节),118分钟,8.5,849119,"['丧尸', '人性', '韩国', '灾难', '惊悚', '恐怖', '温情', '感人']"
温子仁,温子仁 / 雷·沃纳尔,雷·沃纳尔 / 加利·艾尔维斯 / 丹尼·格洛弗 / 肯·梁 / 迪娜·迈耶 / 迈克·巴特斯 / 保罗·古德勒支 / 迈克尔·爱默生 / 本尼托·马丁内斯 / 肖妮·史密斯 / 麦肯兹·韦加 / 莫妮卡·波特 / 耐德·巴拉米 / 亚丽姗卓·全 / 托宾·贝尔,"['悬疑', '惊悚', '恐怖']", 美国, 英语,2004-01-19(圣丹斯电影节),103分钟,8.7,374018,"['惊悚', '血腥', '恐怖', '悬疑', '电锯惊魂', '美国', '犯罪', '暴力']"
费尔南多·梅里尔斯 / 卡迪亚·兰德,保罗·林斯 / 布罗里欧·曼托伐尼,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森 / 道格拉斯·席尔瓦 / 乔纳森·哈根森 / 马修斯·纳克加勒 / 索·豪黑 / 艾莉丝·布拉加,"['剧情', '犯罪']", 巴西 / 法国, 葡萄牙语,2002-05-18(戛纳电影节),130分钟,8.9,235714,"['巴西', '暴力', '犯罪', '黑帮', '人性', '青春', '南美', '剧情']"
昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯 / 莱昂纳多·迪卡普里奥 / 克里斯托弗·瓦尔兹 / 塞缪尔·杰克逊 / 凯丽·华盛顿 / 沃尔顿·戈金斯 / 丹尼斯·克里斯托弗 / 乔纳·希尔 / 詹姆斯·瑞马尔 / 爱波·塔布琳 / 弗兰科·内罗 / 罗伯特·卡拉丁 / 佐伊·贝尔,"['剧情', '动作', '西部', '冒险']", 美国, 英语 / 法语 / 德语,2013-05-12(中国大陆),163分钟(中国大陆),8.7,451012,"['美国', '西部', '黑色幽默', '暴力', '西部片', '剧情', '人性', '动作']"
严定宪 / 王树忱 / 徐景达,王树忱,梁正晖 / 邱岳峰 / 毕克 / 富润生 / 尚华 / 于鼎,"['动画', '奇幻', '冒险']", 中国大陆, 汉语普通话,1979-05-19(中国大陆),65分钟,9.1,182833,"['国产动画', '动画', '经典', '童年', '哪吒闹海', '中国', '中国动画', '大陆']"
李安,李安 / 冯光远 / 詹姆斯·夏慕斯,赵文瑄 / 郎雄 / 归亚蕾 / 金素梅 / 米切尔·利希藤斯坦,"['剧情', '喜剧', '爱情', '同性', '家庭']", 中国台湾 / 美国, 汉语普通话 / 英语,1993-02(柏林电影节),108分钟,8.9,247779,"['李安', '家庭', '台湾', '同志', '同性', '台湾电影', '剧情', '喜宴']"
黑泽明,黑泽明 / 桥本忍 / 小国英雄,三船敏郎 / 志村乔 / 津岛惠子 / 岛崎雪子 / 藤原釜足 / 加东大介 / 木村功 / 千秋实 / 宫口精二 / 小杉义男 / 左卜全 / 稻叶义男 / 土屋嘉男 / 高堂国典 / 东野英治郎 / 上田吉二郎 / 多多良纯 / 渡边笃 / 小川虎之助 / 山形勋 / 上山草人 / 清水元 / 高木新平 / 大友伸 / 高原骏雄 / 稻垣三郎 / 堺左千夫 / 千石规子 / 本间文子 / 大久保正信 / 伊藤实 / 大村千吉 / 广濑正一 / 宇野晃司 / 谷晃 / 中岛春雄 / 清水美恵 / 熊谷卓三 / 夏木顺平 / 岩本弘司 / 堤康久 / 马野都留子 / 森今日子 / 加藤武 / 仲代达矢 / 宇津井健 / 山本廉,"['剧情', '动作', '冒险']", 日本, 日语,1954-04-26(日本),207分钟,9.2,139254,"['黑泽明', '日本', '经典', '日本电影', '七武士', '武士', '剧情', '战争']"
吴宇森,陈庆嘉 / 吴宇森 / 梁淑华,周润发 / 狄龙 / 张国荣 / 朱宝意 / 李子雄 / 田丰 / 吴宇森 / 曾江 / 成奎安 / 徐克 / 陈志辉,"['剧情', '动作', '犯罪']", 中国香港, 粤语 / 汉语普通话 / 英语,1986-08-02(中国香港),95分钟,8.7,373969,"['香港', '经典', '动作', '黑帮', '犯罪', '警匪', '小马哥', '暴力美学']"
杰茜·尼尔森,杰茜·尼尔森 / 克里斯汀·约翰逊,西恩·潘 / 达科塔·范宁 / 米歇尔·菲佛 / 黛安·韦斯特 / 洛雷塔·迪瓦恩 / 理查德·希夫 / 劳拉·邓恩,"['剧情', '家庭']", 美国, 英语,2001-12-03(美国),132 分钟,8.9,225538,"['亲情', '温情', '感人', '美国', '家庭', '父爱', '成长', '人性']"
保罗·格林格拉斯,托尼·吉尔罗伊 / 乔治·诺非 / 斯科特·Z·本恩斯,马特·达蒙 / 朱丽娅·斯蒂尔斯 / 大卫·斯特雷泽恩 / 斯科特·格伦 / 帕迪·康斯戴恩 / 埃德加·拉米雷兹 / 阿尔伯特·芬尼 / 琼·艾伦 / Tom Gallop / 克里·约翰逊 / 丹尼尔·布鲁赫 / 乔伊·安沙 / 科林·斯廷顿 / 丹·弗雷登堡 / Lucy Liemann,"['动作', '悬疑', '惊悚']", 美国 / 德国, 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,2007-11-15(中国大陆),115分钟,8.8,318180,"['动作', '特工', '间谍', '美国', 'MattDamon', '悬疑', '谍影重重3', '美国电影']"
