藤森雅也,村上修 / 神野博明 / 宫西达也,山口胜平 / 爱河里花子 / 加藤清史郎 / 原田知世 / 川岛得爱 / 折笠富美子 / 桐本拓哉 / 别所哲也 / 矢田稔 / 川村万梨阿 / 高乃丽 / 小室正幸 / 江川央生 / 志村知幸 / 胜沼纪义 / 井田国男 / 宫西达也 / 宫西美奈子,"['剧情', '动画', '儿童']", 日本, 日语,2010-10-16(日本),90分钟,8.9,255120,"['动画', '日本', '温情', '动漫', '治愈', '感人', '亲情', '成长']"
是枝裕和,是枝裕和 / 吉田秋生,绫濑遥 / 长泽雅美 / 夏帆 / 广濑铃 / 大竹忍 / 堤真一 / 加濑亮 / 风吹淳 / 中川雅也 / 前田旺志郎  / 铃木亮平 / 坂口健太郎 / 树木希林,"['剧情', '家庭']", 日本, 日语,2015-05-14(戛纳电影节),127分钟,8.8,296137,"['日本', '温情', '家庭', '亲情', '治愈', '文艺', '成长', '剧情']"
瑞奇·摩尔,菲尔·约翰斯顿 / 珍妮弗·李 / 瑞奇·摩尔 / 吉姆·里尔顿 / 约翰·C·赖利 / 山姆·J·莱文 / 贾里德·斯特恩,约翰·C·赖利 / 萨拉·西尔弗曼 / 杰克·麦克布瑞尔 / 简·林奇 / 艾伦·图代克 / 敏迪·卡灵 / 乔·洛·特鲁格里奥 / 艾德·奥尼尔 / 丹尼斯·海斯伯特 / 伊迪·麦克勒格 / 雷蒙德·S·佩尔西 / 杰斯·哈梅尔 / 瑞秋·哈里斯 / 斯盖拉·阿斯丁 / 亚当·卡罗拉 / 霍拉提奥·桑斯 / 莫里斯·拉马奇 / 斯戴芬妮·斯考特 / 约翰·迪·马吉欧 / 瑞奇·摩尔 / 凯蒂·洛斯 / 贾米·埃曼 / 乔西·特立尼达 / 辛贝·沃克 / 塔克·吉莫尔 / 布兰登·斯考特 / 蒂姆·梅尔滕斯 / 凯文·迪特斯 / 杰洛·里佛斯 / 马丁·贾维斯 / 布莱恩·克辛格 / 罗杰·克莱格·史密斯 / 菲尔·约翰斯顿 / 鲁本·兰登 / 凯尔·赫伯特 / 洁米·斯贝勒·罗伯茨 / 尼克·格里姆肖,"['喜剧', '动画', '奇幻', '冒险']", 美国, 英语,2012-11-06(中国大陆),101分钟,8.7,395158,"['动画', '迪斯尼', '美国', '喜剧', '游戏', '搞笑', '冒险', '2012']"
巴瑞·莱文森,罗纳德·巴斯 / 巴里·莫罗,达斯汀·霍夫曼 / 汤姆·克鲁斯 / 瓦莱丽亚·戈利诺 / 邦尼·亨特,['剧情'], 美国, 英语 / 意大利语,1988-12-16(美国),133分钟,8.7,316811,"['亲情', '美国', '汤姆·克鲁斯', '经典', '人性', '雨人', '剧情', '美国电影']"
卡洛斯·沙尔丹哈 / 克里斯·韦奇,迈克尔·伯格  / 迈克尔·J·威尔森 / 彼得·阿克曼,雷·罗马诺 / 约翰·雷吉扎莫 / 丹尼斯·利瑞 / 杰克·布莱克,"['喜剧', '动画', '冒险']", 美国, 英语 / 克罗地亚语,2002-03-15(美国),81 分钟,8.6,471862,"['动画', '美国', '喜剧', '搞笑', '卡通', '经典', '动画电影', '动漫']"
尼克·卡萨维蒂,扬·萨尔迪 / 杰里米·莱文 / 尼古拉斯·斯帕克斯,瑞恩·高斯林 / 瑞秋·麦克亚当斯 / 吉娜·罗兰兹 / 詹姆斯·加纳 / 斯塔尔勒塔·杜波利斯 / 凯文·康诺利 / 希瑟·沃奎斯特 / 杰弗里·奈特 / 琼·艾伦 / 詹姆斯·麦斯登,"['剧情', '爱情']", 美国, 英语,2004-06-25(美国),123分钟,8.5,491550,"['爱情', '浪漫', '美国', '感动', '恋恋笔记本', '美国电影', '经典', '温情']"
阿尔弗雷德·希区柯克,约瑟夫·斯蒂凡诺 / 罗伯特·布洛克,安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文 / 珍妮特·利 / 马丁·鲍尔萨姆 / 约翰·麦克因泰 / 西蒙·奥克兰 / 弗兰克·艾伯森 / 帕特里夏·希区柯克 / 沃恩·泰勒 / 卢伦·塔特尔 / 约翰·安德森 / 莫特·米尔斯 / 吉特·卡森 / 维吉尼亚·格雷格 / 阿尔弗雷德·希区柯克 / 珍妮特·诺兰 / 罗伯特奥斯本 / 海伦·华莱士 / Fletcher Allen / Walter Bacon / Francis De Sales / George Dockstader / George Eldredge / Harper Flaherty / 萨姆·弗林特 / Frank Killmond / 泰德·奈特 / Pat McCaffrie / Hans-Joachim Moebis / Fred Scheiwiller,"['悬疑', '惊悚', '恐怖']", 美国, 英语,1960-06-16(纽约首映),109分钟,9.0,175934,"['希区柯克', '悬疑', '惊悚', '经典', '美国', '心理', '1960', 'AlfredHitchcock']"
郭柯,,,['纪录片'], 中国大陆, 汉语普通话,2017-08-14(中国大陆),99分钟(公映版),8.7,220794,"['纪录片', '慰安妇', '历史', '人性', '二战', '战争', '中国大陆', '温情']"
克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治 / 利亚姆·海姆斯沃斯 / 迈克尔·多曼 / 瑞秋·卡帕尼 / 艾玛·朗 / 亨利·尼克松 / 约书亚·麦基弗,"['剧情', '悬疑', '惊悚']", 英国 / 澳大利亚, 英语,2009-10-16(英国),99 分钟,8.5,587494,"['悬疑', '惊悚', '心理', '恐怖', '轮回', '澳大利亚', '恐怖电影', '2009']"
肯尼思·洛纳根,肯尼思·洛纳根,卡西·阿弗莱克 / 卢卡斯·赫奇斯 / 米歇尔·威廉姆斯 / C·J·威尔逊 / 凯尔·钱德勒 / 卡拉·海沃德 / 格瑞辰·摩尔 / 泰特·多诺万 / 埃里卡·麦克德莫特 / 希瑟·伯恩斯 / 蜜西·雅格 / 斯蒂芬·亨德森 / 本·汉森 / 玛丽·梅伦 / 安东尼·埃斯特拉 / 苏珊·波尔法 / 罗伯特·塞拉 / 卡罗琳·皮克曼 / 约什·汉密尔顿 / 肖恩·菲茨吉本 / 肯尼思·洛纳根 / 安娜·巴瑞辛尼科夫 / 利亚姆·麦克尼尔 / 马修·布罗德里克 / Kt·巴达萨罗 / 威廉·博恩凯塞尔 / 弗兰克·达戈斯蒂诺 / 托马斯·马里亚诺,"['剧情', '家庭']", 美国, 英语,2017-08-25(中国大陆),137分钟,8.6,363564,"['人生', '剧情', '美国', '家庭', '文艺', '亲情', '奥斯卡', '成长']"
