黑泽明,黑泽明 / 桥本忍 / 芥川龙之介,三船敏郎 / 京町子 / 森雅之 / 志村乔 / 千秋实 / 上田吉二郎 / 本间文子 / 加东大介,"['剧情', '悬疑', '犯罪']", 日本, 日语,1950-08-26(日本),88分钟,8.8,226665,"['黑泽明', '日本', '人性', '经典', '罗生门', '日本电影', '剧情', '悬疑']"
詹姆斯·卡梅隆,詹姆斯·卡梅隆 / 小威廉·威谢尔,阿诺·施瓦辛格 / 琳达·汉密尔顿 / 爱德华·福隆 / 罗伯特·帕特里克 / 阿尔·伯恩 / 乔·莫顿 / 埃帕莎·默克森 / 卡斯图罗·格雷拉 / 丹尼·库克塞 / 詹妮特·戈德斯坦恩 / 山德·贝克利 / 莱思莉·汉密尔顿·格伦 / 彼得·舒鲁姆 / 唐·雷克 / 吉姆·帕尔默 / 格温达·迪肯 / 科林·帕特里克·林奇 / 妮基·考克斯 / 德沃恩·尼克森 / 阿卜杜勒·萨拉姆·埃尔·拉扎克 / 迈克·马斯喀特 / 迪恩·诺里斯 / 查尔斯·A·坦伯罗 / 丹尼·皮尔斯 / 马克·克里斯托弗·劳伦斯 / 林凡  / 乔尔·克莱默 / 斯科特·肖 / 史文-欧尔·托尔森 / 小威廉·威谢尔 / Ken Gibbel / Robert Winley / Michael Edwards / Don Stanton / Dan Stanton / Lisa Brinegar / Dalton Abbott / Bret A. Arnold / Martin Deluca,"['动作', '科幻']", 美国 / 法国, 英语 / 西班牙语,1991-07-03(美国),137分钟,8.7,261395,"['科幻', '施瓦辛格', '动作', '经典', '终结者', '美国', '美国电影', '1991']"
普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,普特鹏·普罗萨卡·那·萨克那卡林,平采娜·乐维瑟派布恩 / 马里奥·毛瑞尔 / 苏达拉·布查蓬 / 雅尼卡·桑普蕾舞 / 诺特·阿查拉那·阿瑞亚卫考 / 皮拉瓦特·赫拉巴特 / 普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,"['剧情', '喜剧', '爱情']", 泰国, 泰语 / 印度尼西亚语 / 英语,2012-06-05(中国大陆),118分钟(泰国),8.4,783120,"['青春', '爱情', '泰国', '初恋', '校园', '成长', '少年', '喜剧']"
斯坦利·库布里克,亚瑟·克拉克 / 斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特 / 丹尼尔·里希特 / 雷纳德·洛塞特 / 罗伯特·比提 / 肖恩·沙利文 / 艾德·毕肖普 / 格伦·贝克 / 艾伦·吉福德 / 安·吉利斯,"['科幻', '惊悚', '冒险']", 英国 / 美国, 英语 / 俄语,1968-04-02(华盛顿首映),149分钟,8.8,210325,"['科幻', '经典', '美国', '太空', '哲学', '1968', '史诗', '宇宙']"
陆川,陆川,多布杰 / 张垒 / 奇道 / 赵雪莹 / 马占林 / 赵一穗,"['剧情', '犯罪']", 中国大陆 / 中国香港, 汉语普通话 / 藏语,2004-10-01(中国大陆),85分钟(中国大陆),8.8,217113,"['纪实', '藏羚羊', '西藏', '人性', '剧情', '犯罪', '自然', '中国大陆']"
黑泽明,黑泽明 / 桥本忍 / 芥川龙之介,三船敏郎 / 京町子 / 森雅之 / 志村乔 / 千秋实 / 上田吉二郎 / 本间文子 / 加东大介,"['剧情', '悬疑', '犯罪']", 日本, 日语,1950-08-26(日本),88分钟,8.8,226665,"['黑泽明', '日本', '人性', '经典', '罗生门', '日本电影', '剧情', '悬疑']"
詹姆斯·卡梅隆,詹姆斯·卡梅隆 / 小威廉·威谢尔,阿诺·施瓦辛格 / 琳达·汉密尔顿 / 爱德华·福隆 / 罗伯特·帕特里克 / 阿尔·伯恩 / 乔·莫顿 / 埃帕莎·默克森 / 卡斯图罗·格雷拉 / 丹尼·库克塞 / 詹妮特·戈德斯坦恩 / 山德·贝克利 / 莱思莉·汉密尔顿·格伦 / 彼得·舒鲁姆 / 唐·雷克 / 吉姆·帕尔默 / 格温达·迪肯 / 科林·帕特里克·林奇 / 妮基·考克斯 / 德沃恩·尼克森 / 阿卜杜勒·萨拉姆·埃尔·拉扎克 / 迈克·马斯喀特 / 迪恩·诺里斯 / 查尔斯·A·坦伯罗 / 丹尼·皮尔斯 / 马克·克里斯托弗·劳伦斯 / 林凡  / 乔尔·克莱默 / 斯科特·肖 / 史文-欧尔·托尔森 / 小威廉·威谢尔 / Ken Gibbel / Robert Winley / Michael Edwards / Don Stanton / Dan Stanton / Lisa Brinegar / Dalton Abbott / Bret A. Arnold / Martin Deluca,"['动作', '科幻']", 美国 / 法国, 英语 / 西班牙语,1991-07-03(美国),137分钟,8.7,261395,"['科幻', '施瓦辛格', '动作', '经典', '终结者', '美国', '美国电影', '1991']"
普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,普特鹏·普罗萨卡·那·萨克那卡林,平采娜·乐维瑟派布恩 / 马里奥·毛瑞尔 / 苏达拉·布查蓬 / 雅尼卡·桑普蕾舞 / 诺特·阿查拉那·阿瑞亚卫考 / 皮拉瓦特·赫拉巴特 / 普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,"['剧情', '喜剧', '爱情']", 泰国, 泰语 / 印度尼西亚语 / 英语,2012-06-05(中国大陆),118分钟(泰国),8.4,783120,"['青春', '爱情', '泰国', '初恋', '校园', '成长', '少年', '喜剧']"
斯坦利·库布里克,亚瑟·克拉克 / 斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特 / 丹尼尔·里希特 / 雷纳德·洛塞特 / 罗伯特·比提 / 肖恩·沙利文 / 艾德·毕肖普 / 格伦·贝克 / 艾伦·吉福德 / 安·吉利斯,"['科幻', '惊悚', '冒险']", 英国 / 美国, 英语 / 俄语,1968-04-02(华盛顿首映),149分钟,8.8,210325,"['科幻', '经典', '美国', '太空', '哲学', '1968', '史诗', '宇宙']"
陆川,陆川,多布杰 / 张垒 / 奇道 / 赵雪莹 / 马占林 / 赵一穗,"['剧情', '犯罪']", 中国大陆 / 中国香港, 汉语普通话 / 藏语,2004-10-01(中国大陆),85分钟(中国大陆),8.8,217114,"['纪实', '藏羚羊', '西藏', '人性', '剧情', '犯罪', '自然', '中国大陆']"
茂文·勒鲁瓦,塞缪尔·N·贝尔曼 / 汉斯·拉莫 / 乔治·弗罗斯切尔 / 罗伯特·E·舍伍德,费雯·丽 / 罗伯特·泰勒 / 露塞尔·沃特森 / 弗吉尼亚·菲尔德 / 玛丽亚·彭斯卡娅 / C.奥布雷·史密斯 / Janet Shaw / Janet Waldo / Steffi Duna / Virginia Carroll / Eleanor Stewart / Lowden Adams / Harry Allen / Jimmy Aubrey / Phyllis Barry / Colin Campbell / 丽塔·卡莱尔 / 里奥.G.卡罗尔 / 戴维·卡文迪什 / 大卫·克莱德 / 汤姆·康威 / Frank Dawson / Connie Emerald / Gilbert Emery / 赫伯特·埃文斯 / 迪克·戈登 / Denis Green / 艾塞尔·格里菲斯 / Bobby Hale / Winifred Harris / 哈利韦尔·霍布斯 / Harold Howard / Charles Irwin / George Kirby / Walter Lawrence / 威尔弗雷德·卢卡斯 / Dan Maxwell / James May / Florine McKinney / Charles McNaughton / Frank Mitchell / 埃德蒙·莫蒂默 / 伦纳德米迪 / 坦普·皮戈特 / John Power / Clara Reid / Paul Scardon / 约翰·格雷厄姆·斯佩西 / Wyndham Standing / 哈里·斯塔布斯 / Cyril Thornton / 戴维·瑟斯比 / 诺玛·威登 / 帕特·威尔士 / 玛莎·温特沃思 / Frank Whitbeck / Eric Wilton / 罗伯特·温克勒 / 道格拉斯·伍德,"['剧情', '爱情', '战争']", 美国, 英语 / 法语,1940-05-17(美国),108分钟,8.8,206635,"['爱情', '经典', '费雯丽', '魂断蓝桥', '美国', '战争', '美国电影', '电影']"
雅克·贝汉 /  雅克·克鲁奥德,克里斯托夫·谢松 /  雅克·克鲁奥德 / 洛朗·德巴 / 斯特凡纳·迪朗 / 洛朗·戈德 / 雅克·贝汉 / 弗朗索瓦·萨兰诺,皮尔斯·布鲁斯南 / 雅克·贝汉 / 姜文 / 宫泽理惠 / 小佩德罗·阿门达里斯 / 马蒂亚斯·勃兰特 / 阿尔多 / 兰斯洛特·佩林 / Manolo Garcia,['纪录片'], 法国 / 瑞士 / 西班牙 / 美国 / 阿联酋, 法语 / 英语,2011-08-12(中国大陆),104分钟(法国),9.1,132522,"['纪录片', '法国', '海洋', '自然', '雅克·贝汉', '法国电影', '探索', '2009']"
查理·卓别林,查理·卓别林 / Harry Clive / 哈里·克罗克,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李 / 亨利·伯格曼 / 珍·哈露,"['剧情', '喜剧', '爱情']", 美国, 英语,1931-01-30(洛杉矶首映),87 分钟,9.3,94165,"['卓别林', '喜剧', '默片', '经典', '美国', '黑白', 'CharlesChaplin', '美国电影']"
爱德华·兹威克,威廉·D·威特利夫 / 吉姆·哈里森 / 苏珊·希利迪,布拉德·皮特 / 安东尼·霍普金斯 / 艾丹·奎因 / 朱莉娅·奥蒙德 / 亨利·托马斯 / 卡琳娜·隆巴德 / 坦图·卡丁诺 / 高登·图托西斯 / 克里斯蒂娜·皮克勒斯 / 约翰·诺瓦克 / 肯尼斯·威尔什 / 尼格尔·本内特 / 基根·麦金托什 / 埃里克·约翰逊 / 兰德尔·斯莱文 / 大卫·卡耶 / 查尔斯·安德烈 / 肯·科齐格 / 温妮·孔 / 巴特熊 / 格雷格·福西特 / 加里·A·赫克 / 马修·罗伯特·凯利,"['剧情', '爱情', '战争', '西部']", 美国, 英语 / 科尼什语,1994-12-16(美国),133分钟,8.8,220443,"['西部', '美国', '爱情', '经典', '人生', '剧情', '亲情', '秋日传奇']"
杨德昌,杨德昌 / 赖铭堂 / 杨顺清 / 鸿鸿,张震 / 杨静怡 / 张国柱 / 王启赞 / 林鸿铭 / 金燕玲 / 王琄 / 张翰 / 姜秀琼 / 赖梵耘 / 柯宇纶 / 谭志刚 / 冯国强 / 陈湘琪 / 金士杰,"['剧情', '犯罪']", 中国台湾, 汉语普通话 / 闽南语 / 上海话 / 粤语,1991-07-27(中国台湾),237分钟(导演剪辑版),8.8,191442,"['杨德昌', '台湾', '青春', '牯岭街少年杀人事件', '张震', '台湾电影', '犯罪', '少年']"
李安,王蕙玲 / 詹姆斯·夏慕斯 / 张爱玲,梁朝伟 / 汤唯 / 陈冲 / 王力宏 / 庹宗华 / 朱芷莹 / 高英轩 / 柯宇纶 / 阮德锵 / 钱嘉乐 / 苏岩 / 何赛飞 / 宋茹惠 / 樊光耀 / 卢燕 / 刘洁 / 余娅 / 王琳 / 王侃 / 竹下明子 / 阿努潘·凯尔,"['剧情', '爱情', '情色']", 中国台湾 / 中国大陆 / 美国 / 中国香港, 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语,2007-09-24(中国台湾),158分钟,8.5,505172,"['情色', '张爱玲', '爱情', '人性', '文艺', '剧情', '经典', '台湾']"
