詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特 / 亚历克斯·马努吉安,艾米丽·芭尔多尼 / 莫瑞·史特林 / 尼古拉斯·布兰登 / 劳伦·斯卡法莉娅 / 伊丽莎白·格瑞斯 / 雨果·阿姆斯特朗 / 亚历克斯·马努吉安 / 劳伦·马赫,"['科幻', '悬疑', '惊悚']", 美国 / 英国, 英语,2013-09-19(奇幻电影节),89分钟,8.5,377073,"['科幻', '悬疑', '烧脑', '平行世界', '美国', '时空', '惊悚', '人性']"
丹尼·博伊尔,埃文·威尔什 / 约翰·霍奇,伊万·麦克格雷格 / 艾文·布莱纳 / 约翰尼·李·米勒 / 凯文·麦克基德 / 罗伯特·卡莱尔 / 凯莉·麦克唐纳 / 彼得·穆兰 / 詹姆斯·科兹莫 / 艾琳·尼古拉斯 / 苏珊·维德勒 / 波林·林奇 / 雪莉·亨德森 / 斯图尔特·麦克奎里 / 埃文·威尔什 / 戴尔·温顿 / 基思·艾伦 / 凯文·艾伦 / 菲奥娜·贝尔 / 休·罗斯 / 芬利·威尔士 / 汤姆·德尔玛 / 约翰·霍奇 / 安德鲁·麦克唐纳 / Stuart McGugan,"['剧情', '犯罪']", 英国, 英语,1996-02-23(英国),94分钟,8.5,344575,"['英国', '青春', '猜火车', '毒品', '经典', '英国电影', 'Cult', '剧情']"
史蒂芬·戴德利,戴维·黑尔 / 本哈德·施林克,凯特·温丝莱特 / 大卫·克劳斯 / 拉尔夫·费因斯 / 詹妮特·海因 / 苏珊娜·洛塔尔 / Alissa Wilms / 弗罗里安·巴西奥罗麦 / 弗里德里克·贝希特 / 马蒂亚斯·哈比希 / Frieder Venus / Marie-Anne Fliegel / Hendrik Arnst / Rainer Sellien / 托尔斯滕·米凯利斯 / Moritz Grove,"['剧情', '爱情']", 美国 / 德国, 英语 / 德语 / 希腊语 / 拉丁语,2008-12-10(纽约首映),124 分钟,8.6,376375,"['爱情', '朗读者', 'KateWinslet', '美国', '剧情', '德国', '人性', '美国电影']"
布莱恩·辛格,安东尼·麦卡滕 / 皮特·摩根,拉米·马雷克 / 本·哈迪 / 约瑟夫·梅泽罗 / 格威利姆·李 / 艾伦·里奇 / 露西·宝通 / 艾丹·吉伦 / 汤姆·霍兰德 / 麦克·梅尔斯 / 阿隆·麦克卡斯克 / 梅内卡·达斯 / 迪基·博 / 蒂姆· 普莱斯特 / 杰克·罗思 / 马克斯·班内特 / 基兰·哈德卡斯托 / 罗斯·格林 / 布鲁斯·麦克金伦 / 米歇尔·邓肯 / 马特·格林伍德 / 罗茜·本杰明 / 约翰·奥特曼 / 詹姆斯·华莱士 / 文森特·阿德里安 / 拉斯科·阿特金斯 / 乔纳森·奇塔姆 / 迈克尔·科布 / 耶稣·加洛 / 亚当·兰伯特 / 豪尔赫·莱昂·马丁内斯 / 杰森· 莱恩斯 / 伊斯雷尔·鲁兹,"['剧情', '同性', '音乐', '传记']", 英国 / 美国, 英语,2019-03-22(中国大陆),135分钟,8.7,426083,"['传记', '音乐', '摇滚', 'queen', '英国', '美国', '剧情', '纪录片']"
丹尼斯·甘塞尔,丹尼斯·甘塞尔 / 彼得·图万斯 / 约翰尼·道金斯 / 罗恩·比恩巴赫 / 罗恩·琼斯,于尔根·福格尔 / 弗雷德里克·劳 / 马克思·雷迈特 / 詹妮弗·乌尔里希 / 克里斯蒂安娜·保罗 / 雅各布·马琛茨 / 克里斯蒂娜·度·瑞格 / 埃利亚斯·穆巴里克 / 马克西米利安·福尔马尔 / 马克斯·毛夫,"['剧情', '惊悚']", 德国, 德语,2008-03-13(德国),107 分钟,8.7,208954,"['德国', '人性', '政治', '独裁', '剧情', '心理', '纪实', '教育']"
卡比尔·汗,卡比尔·汗 / 维杰耶德拉·普拉萨德,萨尔曼·汗 / 哈莎莉·马洛特拉 / 卡琳娜·卡普尔 / 纳瓦祖丁·席迪圭 / 欧姆·普瑞 / 梅·维贾 / 席尔帕.舒克拉 / 拉杰什·沙玛 / 沙拉蒂·瑟斯纳 / 阿图·斯里瓦斯塔瓦 / 阿德南·萨米 / 马诺·巴克什,"['剧情', '喜剧', '动作']", 印度, 印地语 / 乌尔都语,2018-03-02(中国大陆),159分钟,8.4,370106,"['印度', '温情', '宗教', '感动', '人性', '感人', '喜剧', '大爱无疆']"
约翰·卡尼,约翰·卡尼,凯拉·奈特莉 / 马克·鲁弗洛 / 亚当·莱文 / 詹姆斯·柯登 / 海莉·斯坦菲尔德 / 凯瑟琳·基纳 / 茅斯·达夫 / 罗伯·莫洛 / 伊恩·布罗茨基 / 香农·沃尔什 / 大卫·埃伯利斯 / 马科·阿桑特 / 玛丽·凯瑟琳·歌瑞森 / 詹·雅各布 / 席洛·格林 / 詹妮弗·李·杰克逊 / 特里·刘易斯 / 吉米·帕伦博 / 西蒙·德兰尼 / 丹妮尔·布里瑟布瓦 / 基恩·鲁弗洛 / 尼古拉斯·丹尼尔·冈萨雷斯 / 麦迪·科尔曼 / 阿雅·卡什 / 大卫·彭德尔顿 / 保罗·罗梅罗 / 安德鲁·塞伦 / 凯伦·皮特曼 / 罗恩·沃斯,"['喜剧', '爱情', '音乐']", 美国, 英语,2015-06-26(中国大陆),104分钟,8.6,315579,"['音乐', '文艺', '爱情', '美国', '浪漫', '温情', '人生', '剧情']"
小津安二郎,野田高梧 / 小津安二郎,笠智众 / 原节子 / 杉村春子 / 东山千荣子 / 山村聪 / 香川京子,"['剧情', '家庭']", 日本, 日语,1953-11-03(日本),136 分钟,9.2,95255,"['小津安二郎', '日本', '家庭', '日本电影', '经典', '文艺', '亲情', '1953']"
周申 / 刘露,周申 / 刘露,任素汐 / 大力 / 刘帅良 / 裴魁山 / 阿如那 / 韩彦博 / 卜冠今 / 王堃 / 高阳 / 苏千越 / 麦亚瑟 / 王峰,"['剧情', '喜剧']", 中国大陆, 汉语普通话,2016-10-28(中国大陆),111分钟,8.3,686381,"['黑色幽默', '讽刺', '人性', '开心麻花', '喜剧', '中国大陆', '内涵', '荒诞']"
汤姆·麦卡锡,乔希·辛格 / 汤姆·麦卡锡,马克·鲁弗洛 / 迈克尔·基顿 / 瑞秋·麦克亚当斯 / 列维·施瑞博尔 / 约翰·斯拉特里 / 布莱恩·达西·詹姆斯 / 斯坦利·图齐 / 比利·克鲁德普 / 保罗·吉尔福伊尔 / 杰米·谢尔丹 / 兰·卡琉 / 尼尔·哈夫 / 迈克尔·西里尔·克赖顿 / 迈克尔·康特里曼,"['剧情', '传记']", 美国, 英语,2015-09-03(威尼斯电影节),128分钟,8.8,214825,"['美国', '媒体', '宗教', '剧情', '人性', '犯罪', '传记', '2015']"
